#InteractionArea; Distance; Width; OffsetX; OffsetY
#dialogueFile; actorData/dictionary/dialogueFile
#transition; fromStatus; toStatus
#tags; ActorTag ...

tags; automated_door

#sensorStatus;sensorStatusName										;interactionSpriteTrigger ;interactionSpriteStatus	;interactionSensorTrigger;interactionSensorStatus;inRangeSpriteTrigger;inRangeSpriteStatus	;inRangeSensorTrigger	;inRangeSensorStatus;intersectionSpriteTrigger;intersectionSpriteStatus		;intersectionSensorTrigger;intersectionSensorStatus;updateSpriteTrigger;updateSpriteStatus;updateSensorTrigger;updateSensorStatus;monitorSpriteTrigger;monitorSensorTrigger;textboxSpriteTrigger;textboxSensorTrigger
sensorStatus	;VARIABLE_UNLOCKED									;none     																;none    																;none 																			;none																			;persistent										;off																	;none 																;none															;persistent															;off																							;none 																				;none																				;persistent									;on																;CONDITION										;none														;none																;none																;none																;none
sensorStatus	;VARIABLE_LOCKED											;textbox																		;none			  															;none																				;none																			;none																;none																;none																	;none															;none																					;none																						;none																					;none																				;none															;none														;CONDITION										;none														          ;none																;none																;none																;none
sensorStatus	;UNLOCKED																		;none     																;none    																;none 																			;none																			;persistent										;off																	;none 																;none															;persistent															;off																							;none 																				;none																				;persistent									;on																;none															;none														;none																;none																;none																;none
sensorStatus	;locked																				;none																					;none     															;none																				;none																			;none																;none																;none																	;none															;none																					;none																						;none																					;none																				;none															;none														;none															;none														;none																;none																;none																;none
sensorStatus	;textbox																			;textbox																		;none     															;none																				;none																			;none																;none																;none																	;none															;none																					;none																						;none																					;none																				;none															;none														;none															;none														;none																;none																;none																;none
sensorStatus	;levelchange															;persistent															;on     																	;none																				;none																			;none																;none																;none																	;none															;none																					;none																						;none																					;none																				;none															;none														;none															;none														;none																;none																;none																;none
sensorStatus	;toTransporter													;levelchange														;transporter/transporter	;none																				;exit																			;none																;none																;none																	;none															;none																					;none																						;none																					;none																				;none															;none														;none															;none														;none																;none																;none																;none
sensorStatus	;toLivingQuarter											;levelchange								    		;living_quarter/living_quarter		;none																				;train																		;none																;none																;none																	;none															;none																					;none																						;none																					;none																				;none															;none														;none															;none														;none																;none																;none																;none


#InteractionArea; Distance; Width; OffsetX; OffsetY
interactionArea; 						250;				120;							0;				-160

#status to image
#status 													;name 					  				;spritename  																																							;blocker	;heightLayer		;fps	;totalFrames		;cols;rows;frameWidth	;frameHeight	;hitboxOffsetX	;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning ;dialogueID								;dialogueFile																;unused;unused;unused;unused;unused ;duration ;velocity  ;AnimationEnds
on-south													;automatedDoor			;actorData/doors/horizontal/door_128_128_v2									;true				;1												;0			;0												;0			;0			;0										;0											;0000 									;0064										;0128								;0064									;none						;door_locked							;dialogue_files/descriptions;unused;unused;unused;unused;unused ;0								;0									;false
off-south												;automatedDoor			;actorData/doors/horizontal/door_open_128_128_v2				;false			;1												;0			;0												;0			;0			;0										;0											;0000 									;0064										;0128								;0064									;none						;door_locked							;dialogue_files/descriptions;unused;unused;unused;unused;unused ;0								;0									;false
capigeniLevel2-south	;automatedDoor			;actorData/doors/horizontal/door_128_128_v2									;true				;1												;0			;0												;0			;0			;0										;0											;0000 									;0064										;0128								;0064									;none						;CHECK_LEVEL2						;level/capigeni/traineeArea	;unused;unused;unused;unused;unused ;0								;0									;false

#condition;if sprite-status;if sensor-status;type				;true-sprite-status;true-sensor-status;true-dialogue-id;true-dialogue-file;false-sprite-status;false-sensor-status;false-dialogue-id;false-dialogue_file;params
condition	;*															;*															;variable;*																	;VARIABLE_UNLOCKED	;*															;*																	;*																		;VARIABLE_LOCKED				;*																;*																		;IS_LIFE_SUPP_OPEN
