#InteractionArea; Distance; Width; OffsetX; OffsetY
#dialogueFile; actorData/dictionary/dialogueFile
#transition; fromStatus; toStatus
#tags; ActorTag ...

tags; automated_door

#sensorStatus;sensorStatusName	;onInteractionSpriteTT ;interactionToSprite ;on---SensorTT ;interactionToSensor ;onInRangeSpriteTT	;inRangeToSprite	;on---SensorTT ;inRangeToSensor ;onIntersectionSpriteTT	;intersectionToSprite ;on---SensorTT ;intersectionToSensor ;onUpdateToSpriteTT			;updateToSprite	;onUpdateSensorTT ;updateToSensor ;onMonitorSpriteTT ;onMonitorSensorTT ;onTextBoxSpriteTT  ;onTextBoxSensorTT
sensorStatus	;UNLOCKED									;none     													;none    												;none 									;none																;persistent								;off													;none 									;none												;persistent													;off																		;none 									;none																	;persistent											;on													;none													;none											;none														;none														;none															;none
sensorStatus	;LOCKED											;textbox															;none     											;none										;none																;none														;none												;none										;none												;none																			;none																	;none										;none																	;none																	;none											;none													;none											;none														;none														;none															;none
sensorStatus	;levelchange						;persistent												;on	     												;none										;none																;none														;none												;none										;none												;none																			;none																	;none										;none																	;none																	;none											;none													;none											;none														;none														;none															;none
sensorStatus	;textbox										;textbox															;none			 												;none										;none																;none														;none												;none										;none												;none																			;none																	;none										;none																	;none																	;none											;none													;none											;none														;none														;none															;none

#InteractionArea; Distance; Width; OffsetX; OffsetY
interactionArea; 						250;				80;							150;				-10


#status to image
#status 											;name 					  				;spritename  																																													;blocker	;heightLayer		;fps	;totalFrames		;cols;rows;frameWidth	;frameHeight	;hitboxOffsetX	;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning ;dialogueID 							;dialogueFile																					;unused;unused;unused;unused;unused;duration ;velocity  ;AnimationEnds
ON																	;automatedDoorDockingBay		;actorData/doors/vertical/autoDoorVertical_close		;true				;1												;0			;0												;0			;0			;0										;0											;0													;128											;64							 		;0128									;none						;door_locked							;dialogue_files/descriptions						;unused;unused;unused;unused;unused;0								;0									;false
