
#InteractionArea; Distance; Width; OffsetX; OffsetY
#dialogueFile; actorData/dictionary/dialogueFile
#transition; fromStatus; toStatus
#tags; ActorTag ...

#sensorStatus;sensorStatusName			;interactionSpriteTrigger ;interactionSpriteStatus	;interactionSensorTrigger;interactionSensorStatus;inRangeSpriteTrigger;inRangeSpriteStatus	;inRangeSensorTrigger	;inRangeSensorStatus;intersectionSpriteTrigger;intersectionSpriteStatus		;intersectionSensorTrigger;intersectionSensorStatus;updateSpriteTrigger;updateSpriteStatus;updateSensorTrigger;updateSensorStatus;monitorSpriteTrigger;monitorSensorTrigger;textboxSpriteTrigger;textboxSensorTrigger
sensorStatus	;default												;none																					;none  	 																;none 																			;none 																		;none																;none																;none 								;none 								;none													;none														;none 								;none 								;none							;none										;none 								;none 									;none					;none 								;none;none

tags; automated_door_relevant; player

#contains_collectible ;actor file path																																	;SpriteStatus												;AMOUNT
contains_collectible 	;actorData/collectibles/food/food																;asiaStar																;10
contains_collectible 	;actorData/collectibles/bacteria/bacteria_seed			;FUEL_SPORE              ;10
contains_collectible 	;actorData/collectibles/metal/metal														;scrapmetal              ;10
contains_collectible 	;actorData/collectibles/key/keycard														;electric_lockpic        ;1

#status 																		;name   																;spritename  																																																													;blocker	;heightLayer		;fps	;totalFrames		;cols;rows;frameWidth	;frameHeight	;hitboxOffsetX	;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning 				;dialogueID;dialogueFile;unused;unused;unused;unused;unused;duration ;velocity  ;AnimationEnds
default-NORTH													;player																	;actorData/character/black_overall/black_man_back_a2_standing													;true				;1												;1			;2												;02			;01	;64									;128									;10												;84												;44										;44											;whitelight_256;none						;dialogueFile;unused;unused;unused;unused;unused;0        ;300							;false
default-NORTH-MOVING						;player																	;actorData/character/black_overall/black_man_back_a8_moving															;true				;1												;10		;6												;06			;01	;64									;128									;10												;84												;44										;44											;whitelight_256;none						;dialogueFile;unused;unused;unused;unused;unused;0        ;300							;false
default-SOUTH													;player																	;actorData/character/black_overall/black_man_front_a2_standing												;true				;1												;1			;2												;04			;01	;64									;128									;10												;84												;44										;44											;whitelight_256;none						;dialogueFile;unused;unused;unused;unused;unused;0        ;300							;false
default-SOUTH-MOVING						;player																	;actorData/character/black_overall/black_man_front_a8_moving		            ;true				;1												;10	 ;8					       ;08		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
default-EAST														;player																	;actorData/character/black_overall/black_man_east_a2_standing 									 		;true				;1												;1		 ;2					       ;04		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
default-EAST-MOVING							;player																	;actorData/character/black_overall/black_man_east_a10_moving								      ;true				;1												;12	 ;10				       ;10		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
default-WEST														;player																	;actorData/character/black_overall/black_man_west_a2_standing								     ;true				;1												;1		 ;2					       ;04		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
default-WEST-MOVING							;player																	;actorData/character/black_overall/black_man_west_a10_moving              ;true				;1												;12	 ;10				       ;10		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false

#default-south																											;player       					;actorData/character/jacket/blue_man/front_standing																								;true				;1												;1			;2			         ;02	 	;01	;64									;128									;10												;84				  						;44						 				;44										;none					 				;STOP					 															;actorData/character/jacket/blue_man/resistance_helper 																		;unused		;unused		;unused		;unused		;unused		;000							;300							;false
#default-south-MOVING																				;player       					;actorData/character/jacket/blue_man/front_moving																										;true				;1												;10	 ;8					       ;08		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;STOP					 															;actorData/character/jacket/blue_man/resistance_helper 																		;unused		;unused		;unused		;unused		;unused		;000							;300							;false
#default-NORTH																											;player 											;actorData/character/jacket/blue_man/back_standing											 													;true				;1												;1			;2												;02			;01	;64									;128									;10												;84												;44										;44											;whitelight_256;none																					;dialogueFile																																																												;unused		;unused		;unused		;unused		;unused		;000       ;300							;false
#default-NORTH-MOVING																				;player 											;actorData/character/jacket/blue_man/back_moving													 													;true				;1												;10		;6												;06			;01	;64									;128									;10												;84												;44										;44											;whitelight_256;none																					;dialogueFile																																																												;unused		;unused		;unused		;unused		;unused		;000       ;300							;false



spacesuit-NORTH											;player					            ;actorData/character/space_suit/north																		;true				;1												;0		 ;0					       ;00		 ;00	;00							  ;000				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
spacesuit-NORTH-MOVING				;player					            ;actorData/character/space_suit/north_a8															;true				;1												;10	 ;6					       ;06		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
spacesuit-SOUTH											;player																	;actorData/character/space_suit/south_a2_standing						;true				;1												;1			;2												;02			;01	;64									;128									;10												;84												;44										;44											;whitelight_256;none						;dialogueFile;unused;unused;unused;unused;unused;0        ;300							;false
spacesuit-SOUTH-MOVING				;player					            ;actorData/character/space_suit/south_a8															;true				;1												;10	 ;8					       ;08		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
spacesuit-EAST												;player					            ;actorData/character/space_suit/right																		;true				;1												;0		 ;0					       ;00		 ;00	;00							  ;000				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
spacesuit-EAST-MOVING					;player					            ;actorData/character/space_suit/right_a10														;true				;1												;12	 ;10				       ;10		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
spacesuit-WEST												;player					            ;actorData/character/space_suit/left 																		;true				;1												;0		 ;0					       ;00		 ;00	;00							  ;000				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
spacesuit-WEST-MOVING					;player					            ;actorData/character/space_suit/left_a10															;true				;1												;12	 ;10				       ;10		 ;01	;64							  ;128				     ;10									   ;84												;44									 ;44											;whitelight_256;none			   ;dialogueFile;unused;unused;unused;unused;unused;0								;300							;false
