
#InteractionArea; Distance; Width; OffsetX; OffsetY
#dialogueFile; actorData/dictionary/dialogueFile
#transition; fromStatus; toStatus
#condition;if sprite-status;if sensor-status;type				;true-sprite-status;true-sensor-status;false-sprite-status;false-sensor-status	;params
#tags; automated_door, persistent
# collectible_tags; TYPE (food, quest, ...); base_value
#suspicious_value; 5
#personality;initCooperation;trait1, trait1-cooperationThreshold,trai1-knowledgeTag; trait2 ...
#personality;005;INTROVERSION,1,none;SENSING,1,none;THINKING,9,none;PERCEIVING,12,none


#sensorStatus;sensorStatusName										;interactionSpriteTrigger ;interactionSpriteStatus	;interactionSensorTrigger;interactionSensorStatus;inRangeSpriteTrigger;inRangeSpriteStatus	;inRangeSensorTrigger	;inRangeSensorStatus;intersectionSpriteTrigger;intersectionSpriteStatus		;intersectionSensorTrigger;intersectionSensorStatus;updateSpriteTrigger;updateSpriteStatus;updateSensorTrigger;updateSensorStatus;monitorSpriteTrigger;monitorSensorTrigger;textboxSpriteTrigger;textboxSensorTrigger
sensorStatus	;default																			;textbox_condition				    ;none  	 																;none 																			;none 																		;none																;none																;none 																;none 														;none																					;none																						;none 																				;none 																			;none															;none														;none 														;none 													;none																;none 															;persistent																;none

#status to image
#status 																																;name   																									;spritename  																																																														;blocker	;heightLayer		;fps	;totalFrames		;cols;rows;frameWidth	;frameHeight	;hitboxOffsetX	;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning 											;dialogueID															;dialogueFile																																																									;unused		;unused		;unused		;unused		;unused	;duration ;velocity  ;AnimationEnds
default																																	;rescue pod							               ;actorData/transporter/rescue_pod/rescue_pod 							    		   														;true				;1 	          ;000 ;000          ;000 ;000 ;000        ;000         ;0000          ;0200          ;0128        ;0128									;redlight_256		 						;DEFAULT																		;actorData/transporter/rescue_pod/rescue_pod						                    ;unused0 ;unused1 ;unused2 ;unused3 ;unused4;000						;000							;false
default_1																															;rescue pod							               ;actorData/transporter/rescue_pod/rescue_pod_1 							    		   												;true				;1 	          ;000 ;000          ;000 ;000 ;000        ;000         ;0000          ;0200          ;0128        ;0128									;redlight_256		 						;DEFAULT																		;actorData/transporter/rescue_pod/rescue_pod						                    ;unused0 ;unused1 ;unused2 ;unused3 ;unused4;000						;000							;false
NOTREADY																																;rescue pod							               ;actorData/transporter/rescue_pod/rescue_pod_stranger_open   														;true				;1 	          ;000 ;000          ;000 ;000 ;000        ;000         ;0000          ;0200          ;0128        ;0128									;redlight_256		 						;NEED_BAC														 		;actorData/transporter/rescue_pod/rescue_pod						                    ;unused0 ;unused1 ;unused2 ;unused3 ;unused4;000						;000							;false
READY																																			;rescue pod							               ;actorData/transporter/rescue_pod/rescue_pod_ready		    		   														;true				;1 	          ;000 ;000          ;000 ;000 ;000        ;000         ;0000          ;0200          ;0128        ;0128									;redlight_256		 						;NEED_BAC														 		;actorData/transporter/rescue_pod/rescue_pod						                    ;unused0 ;unused1 ;unused2 ;unused3 ;unused4;000						;000							;false
RELEASED																																;rescue pod							               ;actorData/transporter/rescue_pod/rescue_pod_launched  		   															;true				;1 	          ;000 ;000          ;000 ;000 ;000        ;000         ;0000          ;0200          ;0128        ;0128									;redlight_256		 						;NEED_BAC														 		;actorData/transporter/rescue_pod/rescue_pod						                    ;unused0 ;unused1 ;unused2 ;unused3 ;unused4;000						;000							;false

tags; persistent

#condition;if sprite-status;if sensor-status;type									;true-sprite-status;true-sensor-status;true-dialogue-id; true-dialogue-file;false-sprite-status;false-sensor-status;false-dialogue-id;false-dialogue_file;params
condition	;NOTREADY								;*															;consumesitem ;*																	;*																	;OVERRIDE								;*																		;*																		;*						 											;NEED_BAC 								;*																		;electric_lockpic;KEY

