

#air System
ACTORS:
airVeR					;actorData/airSystem/airVent/airVent															;Right ventilation								;off																;default							;undefined
ventCo					;actorData/airSystem/airVent/airVent															;Control ventilation						;baseSystemOffline																;default							;undefined
airCr2					;actorData/airSystem/airVent/airVent															;Left ventilation									;baseSystemOffline																;default							;undefined
airCr1					;actorData/airSystem/airVent/airVent															;Left ventilation									;baseSystemOffline		;default							;undefined
airLif					;actorData/airSystem/airVent/airVent															;Left ventilation									;baseSystemOffline		;default							;undefined
hydrOK					;actorData/airSystem/airTerminal/control											;Air hub																		;OFF																;fixed									;undefined


#Air System
ACTORGROUPS:
isTransporterAirSystemOn	;setWorldVariableTrueIfSystemOn	;none 													;ventCo;airVeR;airCr1;airCr2;airLif;hydrOK
airSystemBase												;isBaseSystem 																		;airSystemEnd 					;hydrOK
airSystemEnd													;none 																										;none 													;airVeR ;airCr1;airCr2;ventCo;airLif
