#New Level

log:
new_level

#EMERGENCY_LIGHT, none
shadow:
none

spawnpoints:
#ID						;PosX;PosY	;Direction
default		;06 	;06			;south
left					;05 	;09			;east
right				;14 	;09			;west


tiledefinition:
#File name convention: inner (hülle) if wall around player + direction ;outer if player can go around wall (säule) + direction of corner
#Naming: FChs_0  ShortName-[wall-hull-roof-floor]-[direction]-[number]
#Floor
#code     ;name        																																																										;spritename                  ;blocker		;heightLayer		;fps ;totalFrames  ;cols ;rows ;frameWidth ;frameHeight ;hitboxOffsetX ;hitboxOffsetY ;hitBoxWidth ;hitBoxHeight ;lightning;dialogueId ;dialogueFile ;unused0 ;unused1 ;unused2 ;unused3 ;unused4
black_    ;black																																																																	;img/void_64_64														;false				;0												;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
plaiM1    ;metal																																																																	;img/floor/plainM1_64_64					;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
plaiM2    ;metal																																																																	;img/floor/plainM2_64_64					;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4
plaiM3    ;metal																																																																	;img/floor/plainM3_64_64					;false				;0											;0			;0												;0				;0				;0										;0											;0													;0														;0										;0												;none 						;none							;none									;unused0 ;unused1 ;unused2 ;unused3 ;unused4


#Wall
mtxFS0				;mtxWall					;img/walls/mtx/mtx_front_0 																																;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
mtxFS1				;mtxWall					;img/walls/mtx/mtx_front_1 																																;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
mtxFS2				;mtxWall					;img/walls/mtx/mtx_front_2 																																;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
mtxFS3				;mtxWall					;img/walls/mtx/mtx_front_3 																																;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
bck_nw				;wall								;img/walls/_genericWall/north_west 																								;true					;1												;0			;0												;0				;0				;0										;0											;0													;0020	 								;0064								;0032									;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
bck_ne				;wall								;img/walls/_genericWall/north_east 																								;true					;1												;0			;0												;0				;0				;0										;0											;0													;0020	 								;0064								;0032									;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
back_n				;wall								;img/walls/_genericWall/north 																													;true					;1												;0			;0												;0				;0				;0										;0											;0													;0020	 								;0064								;0032									;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
back_e				;wall								;img/walls/_genericWall/east 																														;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
back_w				;wall								;img/walls/_genericWall/west 																														;true					;0												;0			;0												;0				;0				;0										;0											;0													;0													;0											;0												;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
backVe				;thinwall				;img/walls/_genericWall/standalone_wall_vertical											;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4
backVN				;thinwall				;img/walls/_genericWall/standalone_wall_vertical_northend		;true					;1												;0			;0												;0				;0				;0										;0											;000											;000											;000									;000										;none 						;none							;none																																												;unused0 ;unused1 ;unused2 ;unused3 ;unused4

actors:
#code 					;actorFileN																																																											;IngameName																		;sprite-status						;sensor-status	;direction
player					;actorData/player																																																					;Revolutionary															;default												;default							;north
laddeL					;actorData/doors/updown/ladder/transporter_ladder																					;ladder																						;levelchangeUp						;toDockBayLeftMtx	  ;undefined
laddeR					;actorData/doors/updown/ladder/transporter_ladder																					;ladder																						;levelchangeUp						;toDockBayRightMtx	  ;undefined

Actorgroups:
#System-Name					;Logic																																																										;Influenced-System	;members by actorId (logic-Options: isBaseSystem)
#level change
#dockingBay															;levelchange																				;northDoor									;doorLe
#spaceelevator/dockingBay		;levelchange																    ;leftMtx											;laddeL
#spaceelevator/dockingBay		;levelchange																    ;rightMtx										;laddeR

#sets 64 bits tiles as raster ;you can add multiple layers ;later defined layers are higher prioritized in case of same defined heightLayer
#passivlayer will not be checked for interaction or collision
passivlayer:
#			;000001	;000002	;000003	;000004	;000005	;000006	;000007	;000008	;000009	;000010	;000011	;000012	;000013	;000014	;000015	;000016	;000017	;000018	;000019	;000020	;000021	;000022	;000023 ;000024	;000025	;000026	;000027	;000028	;000029	;000030	;000031	;000032 ;000033 ;000034 ;000035 ;000036 ;000037 ;000038 ;000039 ;000040 ;000041	;000042	;000043 ;000044 ;000045	;000046	;000047	;000048 ;000049 ;000049 ;000050 ;000051 ;000052 ;000053 ;000054 ;000055 ;000056 ;000057 ;000058 ;000059 ;000060
001 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
002 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
003 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
004 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
005 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
006 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
007 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
008 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
009 ;______ ;______ ;______ ;______ ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
010 ;______ ;______ ;______ ;______ ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;plaiM2 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
011 ;______ ;______ ;______ ;______ ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;plaiM3 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
012 ;______ ;______ ;______ ;______ ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;plaiM1 ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______ ;______
